品种,批发市场,最高价,最低价,大宗价,单位,提取时间
大蒜,阳泉农产品批发市场有限公司,,,8,元/公斤,2025-9-16 17:50
生姜,阳泉农产品批发市场有限公司,,,9,元/公斤,2025-9-16 17:50
大葱,阳泉农产品批发市场有限公司,,,2,元/公斤,2025-9-16 17:50
葱头,阳泉农产品批发市场有限公司,,,1.2,元/公斤,2025-9-16 17:50
大白菜,阳泉农产品批发市场有限公司,,,1.2,元/公斤,2025-9-16 17:50
洋白菜,阳泉农产品批发市场有限公司,,,1.2,元/公斤,2025-9-16 17:50
油菜,阳泉农产品批发市场有限公司,,,2.4,元/公斤,2025-9-16 17:50
生菜,阳泉农产品批发市场有限公司,,,2.6,元/公斤,2025-9-16 17:50
香菜,阳泉农产品批发市场有限公司,,,8,元/公斤,2025-9-16 17:50
韭菜,阳泉农产品批发市场有限公司,,,4,元/公斤,2025-9-16 17:50
白萝卜,阳泉农产品批发市场有限公司,,,1.5,元/公斤,2025-9-16 17:50
猪肉,长治市紫坊农产品综合交易市场有限公司,28,27,27.5,元/公斤,2025-9-16 17:50
大豆,长治市紫坊农产品综合交易市场有限公司,8,7,7.5,元/公斤,2025-9-16 17:50
香蕉,长治市紫坊农产品综合交易市场有限公司,8,7,7.5,元/公斤,2025-9-16 17:50
苦瓜,长治市紫坊农产品综合交易市场有限公司,4.6,4,4.3,元/公斤,2025-9-16 17:50
西葫芦,长治市紫坊农产品综合交易市场有限公司,4,3.4,3.7,元/公斤,2025-9-16 17:50
黄瓜,长治市紫坊农产品综合交易市场有限公司,4,3.4,3.7,元/公斤,2025-9-16 17:50
青椒,长治市紫坊农产品综合交易市场有限公司,7.6,6.8,7.2,元/公斤,2025-9-16 17:50
尖椒,长治市紫坊农产品综合交易市场有限公司,6.2,5.6,5.9,元/公斤,2025-9-16 17:50
西红柿,长治市紫坊农产品综合交易市场有限公司,6,5.4,5.7,元/公斤,2025-9-16 17:50
西兰花,长治市紫坊农产品综合交易市场有限公司,11.6,11,11.3,元/公斤,2025-9-16 17:50
菜花,长治市紫坊农产品综合交易市场有限公司,6,5,5.5,元/公斤,2025-9-16 17:50
蒜薹,长治市紫坊农产品综合交易市场有限公司,7,6,6.5,元/公斤,2025-9-16 17:50
茭白,长治市紫坊农产品综合交易市场有限公司,16,14,15,元/公斤,2025-9-16 17:50
莲藕,长治市紫坊农产品综合交易市场有限公司,8,7.4,7.7,元/公斤,2025-9-16 17:50
莴笋,长治市紫坊农产品综合交易市场有限公司,8,7,7.5,元/公斤,2025-9-16 17:50
芹菜,长治市紫坊农产品综合交易市场有限公司,5.4,4.8,5.1,元/公斤,2025-9-16 17:50
大蒜,长治市紫坊农产品综合交易市场有限公司,10,9.6,9.8,元/公斤,2025-9-16 17:50
生姜,长治市紫坊农产品综合交易市场有限公司,11.4,10.6,10.8,元/公斤,2025-9-16 17:50
